Far field
"Frequency"[Hz]	"FarField1 [dBi]"	
3.00000000E+07	8.06254701E+00	
3.25000000E+07	8.27995596E+00	
3.50000000E+07	1.02435383E+01	
3.75000000E+07	1.30614693E+01	
4.00000000E+07	1.46181456E+01	
4.25000000E+07	1.50298443E+01	
4.50000000E+07	1.54236651E+01	
4.75000000E+07	1.53804410E+01	
5.00000000E+07	1.62186912E+01	
5.25000000E+07	1.68479288E+01	
5.50000000E+07	1.69303576E+01	
5.75000000E+07	1.70939941E+01	
6.00000000E+07	1.74235903E+01	
6.25000000E+07	1.73976765E+01	
6.50000000E+07	1.75943919E+01	
6.75000000E+07	1.74234440E+01	
7.00000000E+07	1.77827208E+01	
7.25000000E+07	1.79117100E+01	
7.50000000E+07	1.81267765E+01	
7.75000000E+07	1.81021199E+01	
8.00000000E+07	1.82857696E+01	
8.25000000E+07	1.80036524E+01	
8.50000000E+07	1.77173169E+01	
8.75000000E+07	1.80593581E+01	
9.00000000E+07	1.89484035E+01	
9.25000000E+07	1.95261398E+01	
9.50000000E+07	1.93367859E+01	
9.75000000E+07	1.88453771E+01	
1.00000000E+08	1.84500320E+01	
1.02500000E+08	1.85917458E+01	
1.05000000E+08	1.86853959E+01	
1.07500000E+08	1.87896169E+01	
1.10000000E+08	1.96566630E+01	
1.12500000E+08	2.05790093E+01	
1.15000000E+08	2.09021789E+01	
1.17500000E+08	2.05040672E+01	
1.20000000E+08	1.96422237E+01	
1.22500000E+08	1.85398274E+01	
1.25000000E+08	1.69192070E+01	
1.27500000E+08	1.75327433E+01	
1.30000000E+08	1.27384849E+01	
1.32500000E+08	6.73749066E+00	
1.35000000E+08	1.21262798E+01	
1.37500000E+08	1.83988264E+01	
1.40000000E+08	1.79284490E+01	
1.42500000E+08	1.62877733E+01	
1.45000000E+08	1.48972621E+01	
1.47500000E+08	1.34157448E+01	
1.50000000E+08	1.38176860E+01	
1.52500000E+08	1.60718927E+01	
1.55000000E+08	1.76903858E+01	
1.57500000E+08	1.77117241E+01	
1.60000000E+08	1.76380350E+01	
1.62500000E+08	1.65675020E+01	
1.65000000E+08	1.45244216E+01	
1.67500000E+08	1.36358062E+01	
1.70000000E+08	1.38574248E+01	
1.72500000E+08	1.36997933E+01	
1.75000000E+08	1.66305099E+01	
1.77500000E+08	1.33680970E+01	
1.80000000E+08	8.08652029E+00	
1.82500000E+08	1.40103643E+01	
1.85000000E+08	2.04109583E+01	
1.87500000E+08	1.90370436E+01	
1.90000000E+08	1.80925662E+01	
1.92500000E+08	1.80366919E+01	
1.95000000E+08	1.75489119E+01	
1.97500000E+08	1.59404958E+01	
2.00000000E+08	1.35953940E+01	
