Excitation
"Frequency"[Hz]	"VoltageSource2 [dB]"	
3.00000000E+07	-2.13234620E-02	
3.25000000E+07	-1.66160913E-02	
3.50000000E+07	-2.11973931E-02	
3.75000000E+07	-7.50954306E-02	
4.00000000E+07	-3.96640570E-01	
4.25000000E+07	-4.27254139E-01	
4.50000000E+07	-4.24234054E-01	
4.75000000E+07	-4.82912252E-01	
5.00000000E+07	-5.31861600E-01	
5.25000000E+07	-6.07781333E-01	
5.50000000E+07	-9.00640237E-01	
5.75000000E+07	-1.46448278E+00	
6.00000000E+07	-2.44977033E+00	
6.25000000E+07	-4.02593563E+00	
6.50000000E+07	-5.76270684E+00	
6.75000000E+07	-6.54538952E+00	
7.00000000E+07	-6.43508178E+00	
7.25000000E+07	-5.83456514E+00	
7.50000000E+07	-5.12138015E+00	
7.75000000E+07	-4.59800494E+00	
8.00000000E+07	-4.00524146E+00	
8.25000000E+07	-3.71638603E+00	
8.50000000E+07	-3.68460811E+00	
8.75000000E+07	-4.03565322E+00	
9.00000000E+07	-4.67866793E+00	
9.25000000E+07	-4.84910312E+00	
9.50000000E+07	-4.37895675E+00	
9.75000000E+07	-3.75078572E+00	
1.00000000E+08	-3.28121555E+00	
1.02500000E+08	-3.43165324E+00	
1.05000000E+08	-4.65605103E+00	
1.07500000E+08	-7.08459427E+00	
1.10000000E+08	-1.15749872E+01	
1.12500000E+08	-9.62569452E+00	
1.15000000E+08	-6.18711167E+00	
1.17500000E+08	-4.71611335E+00	
1.20000000E+08	-3.83422215E+00	
1.22500000E+08	-3.26972771E+00	
1.25000000E+08	-3.07618719E+00	
1.27500000E+08	-3.16496076E+00	
1.30000000E+08	-1.77839021E+00	
1.32500000E+08	-1.97623421E+00	
1.35000000E+08	-3.38346104E+00	
1.37500000E+08	-7.13563156E+00	
1.40000000E+08	-7.90570409E+00	
1.42500000E+08	-1.04128285E+01	
1.45000000E+08	-1.46394372E+01	
1.47500000E+08	-1.96060530E+01	
1.50000000E+08	-1.93724912E+01	
1.52500000E+08	-1.73610856E+01	
1.55000000E+08	-1.38360414E+01	
1.57500000E+08	-8.89120521E+00	
1.60000000E+08	-6.22862613E+00	
1.62500000E+08	-3.79893447E+00	
1.65000000E+08	-3.43955954E+00	
1.67500000E+08	-3.53406941E+00	
1.70000000E+08	-3.47427756E+00	
1.72500000E+08	-4.00663229E+00	
1.75000000E+08	-5.58295534E+00	
1.77500000E+08	-7.02915418E+00	
1.80000000E+08	-4.11140795E+00	
1.82500000E+08	-3.39372081E+00	
1.85000000E+08	-3.62575188E+00	
1.87500000E+08	-2.05862065E+00	
1.90000000E+08	-1.66846110E+00	
1.92500000E+08	-1.47401955E+00	
1.95000000E+08	-1.38489304E+00	
1.97500000E+08	-1.37416220E+00	
2.00000000E+08	-1.60825171E+00	
