Far field
"Frequency"[Hz]	"FarField1 [dBi]"	
3.00000000E+07	4.05017856E+00	
3.25000000E+07	4.10288136E+00	
3.50000000E+07	4.19997414E+00	
3.75000000E+07	4.32797246E+00	
4.00000000E+07	4.47638315E+00	
4.25000000E+07	4.63722387E+00	
4.50000000E+07	4.80453888E+00	
4.75000000E+07	4.97409753E+00	
5.00000000E+07	5.14308682E+00	
5.25000000E+07	5.30976324E+00	
5.50000000E+07	5.47317306E+00	
5.75000000E+07	5.63293138E+00	
6.00000000E+07	5.78902126E+00	
6.25000000E+07	5.94159809E+00	
6.50000000E+07	6.09093181E+00	
6.75000000E+07	6.23726315E+00	
7.00000000E+07	6.38085179E+00	
7.25000000E+07	6.52202945E+00	
7.50000000E+07	6.66120535E+00	
7.75000000E+07	6.79863184E+00	
8.00000000E+07	6.93425390E+00	
8.25000000E+07	7.06766718E+00	
8.50000000E+07	7.19804793E+00	
8.75000000E+07	7.32435964E+00	
9.00000000E+07	7.44574634E+00	
9.25000000E+07	7.56230638E+00	
9.50000000E+07	7.67587038E+00	
9.75000000E+07	7.79027042E+00	
1.00000000E+08	7.91022190E+00	
1.02500000E+08	8.03925539E+00	
1.05000000E+08	8.17753095E+00	
1.07500000E+08	8.32113909E+00	
1.10000000E+08	8.46218051E+00	
1.12500000E+08	8.58881026E+00	
1.15000000E+08	8.68469165E+00	
1.17500000E+08	8.72782506E+00	
1.20000000E+08	8.68758828E+00	
1.22500000E+08	8.52304000E+00	
1.25000000E+08	8.18279385E+00	
1.27500000E+08	7.62151540E+00	
1.30000000E+08	6.87543086E+00	
1.32500000E+08	5.96123913E+00	
1.35000000E+08	4.88647523E+00	
1.37500000E+08	3.78069933E+00	
1.40000000E+08	2.80108204E+00	
1.42500000E+08	2.07321707E+00	
1.45000000E+08	1.64497016E+00	
1.47500000E+08	1.48110085E+00	
1.50000000E+08	1.50459033E+00	
1.52500000E+08	1.64130413E+00	
1.55000000E+08	1.84064039E+00	
1.57500000E+08	2.07359571E+00	
1.60000000E+08	2.32413823E+00	
1.62500000E+08	2.58178069E+00	
1.65000000E+08	2.83774886E+00	
1.67500000E+08	3.08432258E+00	
1.70000000E+08	3.31393107E+00	
1.72500000E+08	3.51978588E+00	
1.75000000E+08	3.69573167E+00	
1.77500000E+08	3.83224954E+00	
1.80000000E+08	3.91308824E+00	
1.82500000E+08	3.91727710E+00	
1.85000000E+08	3.82199437E+00	
1.87500000E+08	3.60572834E+00	
1.90000000E+08	3.26376458E+00	
1.92500000E+08	2.83545879E+00	
1.95000000E+08	2.43124099E+00	
1.97500000E+08	2.21516052E+00	
2.00000000E+08	2.30847013E+00	
