Excitation
"Frequency"[Hz]	"VoltageSource2 [dB]"	
3.00000000E+07	-1.82462689E-01	
3.25000000E+07	-3.28987668E-01	
3.50000000E+07	-5.56969284E-01	
3.75000000E+07	-8.96320388E-01	
4.00000000E+07	-1.36188880E+00	
4.25000000E+07	-1.94160661E+00	
4.50000000E+07	-2.60953235E+00	
4.75000000E+07	-3.34915430E+00	
5.00000000E+07	-4.17349626E+00	
5.25000000E+07	-5.11608887E+00	
5.50000000E+07	-6.21417707E+00	
5.75000000E+07	-7.50143305E+00	
6.00000000E+07	-8.97574032E+00	
6.25000000E+07	-1.05540872E+01	
6.50000000E+07	-1.19956083E+01	
6.75000000E+07	-1.28831618E+01	
7.00000000E+07	-1.29249122E+01	
7.25000000E+07	-1.23075638E+01	
7.50000000E+07	-1.14288566E+01	
7.75000000E+07	-1.05670051E+01	
8.00000000E+07	-9.82488551E+00	
8.25000000E+07	-9.22906164E+00	
8.50000000E+07	-8.77241842E+00	
8.75000000E+07	-8.44231806E+00	
9.00000000E+07	-8.22663210E+00	
9.25000000E+07	-8.11228395E+00	
9.50000000E+07	-8.08518348E+00	
9.75000000E+07	-8.12716345E+00	
1.00000000E+08	-8.21551931E+00	
1.02500000E+08	-8.32666399E+00	
1.05000000E+08	-8.43540819E+00	
1.07500000E+08	-8.51950057E+00	
1.10000000E+08	-8.55072388E+00	
1.12500000E+08	-8.49143669E+00	
1.15000000E+08	-8.29432920E+00	
1.17500000E+08	-7.91890941E+00	
1.20000000E+08	-7.36194313E+00	
1.22500000E+08	-6.67887173E+00	
1.25000000E+08	-5.97169387E+00	
1.27500000E+08	-5.34817529E+00	
1.30000000E+08	-4.88712476E+00	
1.32500000E+08	-4.62515527E+00	
1.35000000E+08	-4.57088459E+00	
1.37500000E+08	-4.72265712E+00	
1.40000000E+08	-5.08435926E+00	
1.42500000E+08	-5.67474275E+00	
1.45000000E+08	-6.52942324E+00	
1.47500000E+08	-7.69069366E+00	
1.50000000E+08	-9.16513384E+00	
1.52500000E+08	-1.07706089E+01	
1.55000000E+08	-1.18141227E+01	
1.57500000E+08	-1.13726223E+01	
1.60000000E+08	-9.73430617E+00	
1.62500000E+08	-7.87491602E+00	
1.65000000E+08	-6.25642072E+00	
1.67500000E+08	-4.96301314E+00	
1.70000000E+08	-3.96114139E+00	
1.72500000E+08	-3.19616853E+00	
1.75000000E+08	-2.61456288E+00	
1.77500000E+08	-2.17491780E+00	
1.80000000E+08	-1.84662044E+00	
1.82500000E+08	-1.60896864E+00	
1.85000000E+08	-1.44877714E+00	
1.87500000E+08	-1.35975418E+00	
1.90000000E+08	-1.34166561E+00	
1.92500000E+08	-1.39939779E+00	
1.95000000E+08	-1.53800083E+00	
1.97500000E+08	-1.75195708E+00	
2.00000000E+08	-2.00689267E+00	
